StoreID,StoreName,FirstOrderDate,LastOrderDate,TradingDurationDays,TotalRevenue
412,Gasless Cycle Shop,00:00.0,00:00.0,1004,68327866.32
512,Metal Processing Company,00:00.0,00:00.0,1004,68327866.32
592,Retail Mall,00:00.0,00:00.0,1005,68327866.32
608,Two-Wheeled Transit Company,00:00.0,00:00.0,1004,68327866.32
648,Corner Bicycle Supply,00:00.0,00:00.0,1004,68327866.32
780,Finer Riding Supplies,00:00.0,00:00.0,1004,68327866.32
794,Rewarding Activities Company,00:00.0,00:00.0,1004,68327866.32
812,Sundry Sporting Goods,00:00.0,00:00.0,1004,68327866.32
828,Vigorous Exercise Company,00:00.0,00:00.0,1004,68327866.32
852,Original Bicycle Supply Company,00:00.0,00:00.0,1005,68327866.32
908,General Bike Corporation,00:00.0,00:00.0,1005,68327866.32
970,Primary Bike Distributors,00:00.0,00:00.0,1004,68327866.32
998,Greater Bike Store,00:00.0,00:00.0,1004,68327866.32
1322,Rapid Bikes,00:00.0,00:00.0,1004,68327866.32
1418,"Health Spa, Limited",00:00.0,00:00.0,1005,68327866.32
1882,Red Bicycle Company,00:00.0,00:00.0,1005,68327866.32
1946,Swift Cycles,00:00.0,00:00.0,1004,64398908.52
1992,Totes & Baskets Company,00:00.0,00:00.0,1004,64398908.52
1414,Bike Dealers Association,00:00.0,00:00.0,1005,64398908.52
1296,Trailblazing Sports,00:00.0,00:00.0,1004,64398908.52
1066,Small Bike Shop,00:00.0,00:00.0,1004,64398908.52
1134,Highway Bike Shop,00:00.0,00:00.0,1004,64398908.52
1214,Sturdy Toys,00:00.0,00:00.0,1004,64398908.52
1204,Racing Toys,00:00.0,00:00.0,1004,64398908.52
900,Basic Sports Equipment,00:00.0,00:00.0,1004,64398908.52
816,Farthermost Bike Shop,00:00.0,00:00.0,1004,64398908.52
788,Paint Supply,00:00.0,00:00.0,1004,64398908.52
642,Advanced Bike Components,00:00.0,00:00.0,1004,64398908.52
662,Fitness Toy Store,00:00.0,00:00.0,1005,64398908.52
496,Grease and Oil Products Company,00:00.0,00:00.0,1005,64398908.52
370,Resale Services,00:00.0,00:00.0,1004,64398908.52
372,The Gear Store,00:00.0,00:00.0,1004,64398908.52
302,Area Bike Accessories,00:00.0,00:00.0,1005,64398908.52
1828,Major Cycling,00:00.0,00:00.0,914,62633877.46
